episode,film,character,line
4,A New Hope,VADER,This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion.
4,A New Hope,MAN,"All flight troops, man your stations.  All flight troops, man your stations."
4,A New Hope,LUKE,So... you got your reward and you're just leaving then?
4,A New Hope,HAN,"That's right, yeah!  I got some old debts I've got to pay off with this stuff.  Even if I didn't, you don't think I'd be fool enough to stick around here, do you?  Why don't you come with us?  You're pretty good in a fight.  I could use you."
4,A New Hope,LUKE,"Come on!  Why don't you take a look around?  You know what's about to happen, what they're up against.  They could use a good pilot like you.  You're turning your back on them."
4,A New Hope,HAN,"What good's a reward if you ain't around to use it?  Besides, attacking that battle station ain'tmy idea of courage.  It's more like suicide."
4,A New Hope,LUKE,"All right.  Well, take care of yourself, Han... guess that's what you're best at, isn't it?"
4,A New Hope,HAN,"Hey, Luke... may the Force be with you!"
4,A New Hope,HAN,What're you lookin' at?  I know what I'm doing.
4,A New Hope,LUKE,"So... what do you think of her, Han?"
4,A New Hope,LUKE,I care!
4,A New Hope,LEIA,Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone.
4,A New Hope,LEIA,"You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!"
4,A New Hope,LUKE,I can't believe he's gone.
4,A New Hope,LEIA,There wasn't anything you could have done.
4,A New Hope,HAN,"Come on, buddy, we're not out of this yet!"
4,A New Hope,HAN,"You in, kid?  Okay, stay sharp!"
4,A New Hope,LEIA,Here they come!
4,A New Hope,LUKE,They're coming in too fast!
4,A New Hope,THREEPIO,Oooh!
4,A New Hope,LEIA,We've lost lateral controls.
4,A New Hope,HAN,"Don't worry, she'll hold together."
4,A New Hope,HAN,"You hear me, baby?  Hold together!"
4,A New Hope,LUKE,Got him!  I got him!
4,A New Hope,HAN,Great kid!  Don't get cocky.
4,A New Hope,LEIA,There are still two more of them out there!
4,A New Hope,LEIA,What's wrong?
4,A New Hope,LUKE,That's it!  We did it!
4,A New Hope,THREEPIO,Help!  I think I'm melting!This is all your fault.
4,A New Hope,TARKIN,Are they away?
4,A New Hope,VADER,They have just made the jump into hyperspace.
4,A New Hope,TARKIN,"You're sure the homing beacon is secure aboard their ship?  I'm taking an awful risk, Vader.  This had better work."
4,A New Hope,HAN,"Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself."
4,A New Hope,LEIA,"That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape."
4,A New Hope,HAN,Easy... you call that easy?
4,A New Hope,LEIA,Their tracking us!
4,A New Hope,HAN,"Not this ship, sister."
4,A New Hope,LEIA,At least the information in Artoo is still intact.
4,A New Hope,HAN,What's so important?  What's he carrying?
4,A New Hope,LEIA,"The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!"
4,A New Hope,HAN,"It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!"
4,A New Hope,LEIA,We did it!
4,A New Hope,LUKE,"Oh, it's Han!  I don't know, I really thought he'd change his mind."
4,A New Hope,LEIA,He's got to follow his own path.  No one can choose it for him.
4,A New Hope,LUKE,I only wish Ben were here.
4,A New Hope,RED LEADER,"Accelerate to attack speed.  This is it, boys!"
4,A New Hope,GOLD LEADER,"Red Leader, this is Gold Leader."
4,A New Hope,RED LEADER,"I copy, Gold Leader."
4,A New Hope,GOLD LEADER,We're starting for the target shaft now.
4,A New Hope,RED LEADER,We're in position.  I'm going to cut across the axis and try and draw their fire.
4,A New Hope,WEDGE,"Heavy fire, boss!  Twenty-threedegrees."
4,A New Hope,RED LEADER,I see it.  Stay low.
4,A New Hope,LUKE,This is Red Five!  I'm going in!
4,A New Hope,BIGGS,"Luke, pull up!"
4,A New Hope,BIGGS,Are you all right?
4,A New Hope,LUKE,"I got a little cooked, but I'm okay."
4,A New Hope,ASTRO-OFFICER,"We count thirty Rebel ships, Lord Vader.  But they're so small they're evading our turbo-lasers!"
4,A New Hope,VADER,We'll have to destroy them ship to ship.  Get the crews to their fighters.
4,A New Hope,RED LEADER,"Cut the chatter, Red Two."
4,A New Hope,RED LEADER,"Luke, let me know when you're going in."
4,A New Hope,RED LEADER,Watch yourself!  There's a lot of fire coming from the right side of that deflection tower.
4,A New Hope,LUKE,I'm on it.
4,A New Hope,CONTROL OFFICER,"Squad leaders, we've picked up a new group of signals.  Enemy fighters coming your way."
4,A New Hope,LUKE,My scope's negative.  I don't see anything.
4,A New Hope,RED LEADER,"Keep up your visual scanning.  With all this jamming, they'll be on top of you before your scope can pick them up."
4,A New Hope,RED LEADER,Biggs!  You've picked one up... watch it!
4,A New Hope,BIGGS,I can't see it!  Where is he?!
4,A New Hope,BIGGS,"He's on me tight, I can't shake him... I can't shake him."
4,A New Hope,LUKE,"Hang on, Biggs, I'm coming in."
4,A New Hope,LUKE,Got him!
4,A New Hope,VADER,Several fighters have broken off from the main group.  Come with me!
4,A New Hope,BIGGS,Pull in!  Luke... pull in!
4,A New Hope,WEDGE,"Watch your back, Luke!"
4,A New Hope,LUKE,I'm on my way in now...
4,A New Hope,HAN,"I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it!"
4,A New Hope,WEDGE,Look at the size of that thing!
4,A New Hope,RED LEADER,Switch your deflectors on.
4,A New Hope,BIGGS,Luke!  I don't believe it!  How'd you get here... are you going out with us?!
4,A New Hope,LUKE,"Biggs!  Of course, I'll be up there with you!  Listen, have I got some stories to tell..."
4,A New Hope,RED LEADER,Are you... Luke Skywalker?  Have you been checked out on the Incom T-sixty-five?
4,A New Hope,BIGGS,"Sir, Luke is the best bushpilot in the outer rim territories."
4,A New Hope,RED LEADER,"I met your father once when I was just a boy.  He was a great pilot.  You'll do all right.  If you've got half of your father's skill, you'll do better than all right."
4,A New Hope,LUKE,"Thank you, sir.  I'll try."
4,A New Hope,BIGGS,"I've got to get aboard.  Listen, you'll tell me your stories when we come back.  All right?"
4,A New Hope,LUKE,"I told you I'd make it someday, Biggs."
4,A New Hope,BIGGS,"You did, all right.  It's going to be like old times Luke. We're a couple of shooting stars that'll never be stopped!"
4,A New Hope,CHIEF,This R2 unit of your seems a bit beat up.  Do you want a new one?
4,A New Hope,LUKE,"Not on your life!  That little droid and I have been through a lot together.You okay, Artoo?"
4,A New Hope,CHIEF,"Okay, easy she goes!"
4,A New Hope,THREEPIO,"Hang on tight, Artoo, you've got to come back."
4,A New Hope,RED LEADER,Double front!
4,A New Hope,THREEPIO,"You wouldn't want my life to get boring, would you?"
4,A New Hope,MASSASSI INTERCOM VOICE,"Stand-by alert.  Death Star approaching.  Estimated time to firing range, fifteen minutes."
4,A New Hope,RED LEADER,All wings report in.
4,A New Hope,RED TEN,Red Ten standing by.
4,A New Hope,RED SEVEN,Red Seven standing by.
4,A New Hope,BIGGS,Red Three standing by.
4,A New Hope,PORKINS,Red Six standing by.
4,A New Hope,RED NINE,Red Nine standing by.
4,A New Hope,WEDGE,Red Two standing by.
4,A New Hope,RED ELEVEN,Red Eleven standing by.
4,A New Hope,LUKE,Red Five standing by.
4,A New Hope,RED LEADER,Lock S-foils in attack position.
4,A New Hope,RED LEADER,We're passing through their magnetic field.
4,A New Hope,RED LEADER,Hold tight!
4,A New Hope,BEN,"Luke, the Force will be with you."
4,A New Hope,HAN,We're caught in a tractor beam!  It's pulling us in!
4,A New Hope,VOICE,Unlock one-five-seven and nine. Release charges.
4,A New Hope,HAN,"Yeah, I think your right.  Full reverse!  Chewie, lock in the auxiliary power."
4,A New Hope,THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?"
4,A New Hope,LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit."
4,A New Hope,LUKE,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.
4,A New Hope,THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording."
4,A New Hope,LUKE,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay."
4,A New Hope,LUKE,There you go.
4,A New Hope,LUKE,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message."
4,A New Hope,THREEPIO,been playing.  The one you're carrying inside your rusty innards!
4,A New Hope,AUNT BERU,Luke?  Luke!  Come to dinner!
4,A New Hope,LUKE,"All right, I'll be right there, Aunt Beru."
4,A New Hope,THREEPIO,"I'm sorry, sir, but he appears to have picked up a slight flutter."
4,A New Hope,LUKE,"Well, see what you can do with him.  I'll be right back."
4,A New Hope,THREEPIO,Just you reconsider playing that message for him.
4,A New Hope,THREEPIO,"No, I don't think he likes you at all."
4,A New Hope,THREEPIO,"No, I don't like you either."
4,A New Hope,LUKE,"You know, I think that R2 unit we bought might have been stolen."
4,A New Hope,OWEN,What makes you think that?
4,A New Hope,LUKE,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi."
4,A New Hope,LUKE,"I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben."
4,A New Hope,OWEN,That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now.
4,A New Hope,LUKE,But what if this Obi-Wan comes looking for him?
4,A New Hope,OWEN,"He won't, I don't think he exists any more.  He died about the same time as your father."
4,A New Hope,LUKE,He knew my father?
4,A New Hope,OWEN,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.
4,A New Hope,LUKE,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year."
4,A New Hope,OWEN,You mean the next semester before harvest?
4,A New Hope,LUKE,"Sure, there're more than enough droids."
4,A New Hope,LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?
4,A New Hope,THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric."
4,A New Hope,THREEPIO,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master."
4,A New Hope,LUKE,Is there more to this recording?
4,A New Hope,THREEPIO,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!"
4,A New Hope,LUKE,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!"
4,A New Hope,THREEPIO,Is there anything I might do to help?
4,A New Hope,LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
4,A New Hope,THREEPIO,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on."
4,A New Hope,LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from."
4,A New Hope,THREEPIO,"I see, sir."
4,A New Hope,LUKE,"Uh, you can call me Luke."
4,A New Hope,THREEPIO,"I see, sir Luke."
4,A New Hope,LUKE,Just Luke.
4,A New Hope,THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
4,A New Hope,LUKE,Hello.
4,A New Hope,LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.
4,A New Hope,OWEN,Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.
4,A New Hope,THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all."
4,A New Hope,THREEPIO,"That's how we came to be in your service, if you take my meaning, sir."
4,A New Hope,LUKE,Have you been in many battles?
4,A New Hope,THREEPIO,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways."
4,A New Hope,LUKE,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or..."
4,A New Hope,LEIA,"Help me, Obi-Wan Kenobi.  You'remy only hope."
4,A New Hope,LUKE,What's this?
4,A New Hope,THREEPIO,What is what?!?  He asked you a question...What is that?
4,A New Hope,LEIA,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope."
4,A New Hope,THREEPIO,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind."
4,A New Hope,LUKE,Who is she?  She's beautiful.
4,A New Hope,THREEPIO,"I'm afraid I'm not quite sure, sir."
4,A New Hope,LEIA,"Help me, Obi-Wan Kenobi..."
4,A New Hope,THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to..."
4,A New Hope,LUKE,You know of the Rebellion against the Empire?
4,A New Hope,OWEN,"You must understand I need you here, Luke."
4,A New Hope,LUKE,But it's a whole 'nother year.
4,A New Hope,OWEN,"Look, it's only one more season."
4,A New Hope,LUKE,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up."
4,A New Hope,THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop."
4,A New Hope,LUKE,"No, he's not going to try anything."
4,A New Hope,LUKE,What's wrong with him now?
4,A New Hope,THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast."
4,A New Hope,LUKE,"Sand People!  Or worse!  Come on, let's have a look.  Come on."
4,A New Hope,LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now."
4,A New Hope,BEN,Hello there!  Come here my little friend.  Don't be afraid.
4,A New Hope,BEN,"Don't worry, he'll be all right."
4,A New Hope,LUKE,What happened?
4,A New Hope,BEN,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece."
4,A New Hope,LUKE,"Ben?  Ben Kenobi!  Boy, am I glad to see you!"
4,A New Hope,BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?"
4,A New Hope,THREEPIO,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here."
4,A New Hope,LUKE,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?"
4,A New Hope,LUKE,I think my uncle knew him.  He said he was dead.
4,A New Hope,BEN,"Oh, he's not dead, no... not yet."
4,A New Hope,LUKE,You know him!
4,A New Hope,BEN,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born."
4,A New Hope,LUKE,Then the droid does belong to you.
4,A New Hope,BEN,Don't seem to remember ever owning a droid.  Very interesting...
4,A New Hope,BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.
4,A New Hope,LUKE,... Threepio!
4,A New Hope,THREEPIO,Where am I?  I must have taken a bad step...
4,A New Hope,LUKE,Can you stand?  We've got to get out of here before the Sand People return.
4,A New Hope,THREEPIO,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for."
4,A New Hope,LUKE,"No, you're not.  What kind of talk is that?"
4,A New Hope,BEN,"Quickly, son... they're on the move."
4,A New Hope,BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.
4,A New Hope,THREEPIO,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!"
4,A New Hope,LUKE,"Hey, whoa, just where do you think you're going?"
4,A New Hope,THREEPIO,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt..."
4,A New Hope,LUKE,"Yeah, that's what you said last year when Biggs and Tank left."
4,A New Hope,AUNT BERU,Where are you going?
4,A New Hope,LUKE,It looks like I'm going nowhere.  I have to finish cleaning those droids.
4,A New Hope,AUNT BERU,"Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him."
4,A New Hope,OWEN,I'll make it up to him next year.  I promise.
4,A New Hope,AUNT BERU,"Luke's just not a farmer, Owen.  He has too much of his father in him."
4,A New Hope,OWEN,That's what I'm afraid of.
4,A New Hope,LUKE,What are you doing hiding there?
4,A New Hope,THREEPIO,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission."
4,A New Hope,LUKE,"Oh, no!"
4,A New Hope,THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times.
4,A New Hope,LUKE,How could I be so stupid?  He's nowhere in sight.  Blast it!
4,A New Hope,THREEPIO,"Pardon me, sir, but couldn't we go after him?"
4,A New Hope,LUKE,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator."
4,A New Hope,LUKE,It's too dangerous with all the Sand People around.  We'll have to wait until morning.
4,A New Hope,LUKE,"All right, I'll be there in a few minutes.  Boy, am I gonna get it."
4,A New Hope,LUKE,You know that little droid is going to cause me a lot of trouble.
4,A New Hope,THREEPIO,"Oh, he excels at that, sir."
4,A New Hope,OWEN,Luke?  Luke?  Luke?  Where could he be loafing now!
4,A New Hope,OWEN,Have you seen Luke this morning?
4,A New Hope,AUNT BERU,"He said he had some things to do before he started today, so he left early."
4,A New Hope,OWEN,Uh?  Did he take those two new droids with him?
4,A New Hope,AUNT BERU,I think so.
4,A New Hope,OWEN,"Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!"
4,A New Hope,LUKE,How's that.
4,A New Hope,LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well."
4,A New Hope,THREEPIO,"Sir, would it help if you told him it was my fault."
4,A New Hope,LUKE,Sure.  He needs you.  He'd probably only deactivate you for a day or so...
4,A New Hope,OWEN,"Luke, I'm shutting the power down for the night."
4,A New Hope,LUKE,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter."
4,A New Hope,LUKE,"Okay, let's go."
4,A New Hope,LUKE,"Yeah, take it away."
4,A New Hope,BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.
4,A New Hope,LUKE,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!
4,A New Hope,DEAK,Not again!  Forget it.
4,A New Hope,LUKE,There they are!
4,A New Hope,BIGGS,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling."
4,A New Hope,LUKE,But there was a lot of firing earlier...
4,A New Hope,LUKE,"Hey, easy with those..."
4,A New Hope,CAMIE,"Don't worry about it, Wormie."
4,A New Hope,FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing..."
4,A New Hope,LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic..."
4,A New Hope,VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you."
4,A New Hope,LUKE,Why are we still moving towards it?
4,A New Hope,VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!
4,A New Hope,COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate."
4,A New Hope,VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!
4,A New Hope,COMMANDER,you anything.
4,A New Hope,VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!
4,A New Hope,SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard."
4,A New Hope,VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time."
4,A New Hope,COMMANDER,"Yes, sir."
4,A New Hope,THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.
4,A New Hope,THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen.
4,A New Hope,THREEPIO,What a desolate place this is.
4,A New Hope,THREEPIO,Where are you going?
4,A New Hope,THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier."
4,A New Hope,THREEPIO,What makes you think there are settlements over there?
4,A New Hope,THREEPIO,Don't get technical with me.
4,A New Hope,LUKE,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?"
4,A New Hope,BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working."
4,A New Hope,LUKE,I didn't know you were back!  When did you get in?
4,A New Hope,LUKE,Shape it up you guys!...  Biggs?
4,A New Hope,THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!
4,A New Hope,THREEPIO,We're doomed!
4,A New Hope,THREEPIO,There'll be no escape for the Princess this time.
4,A New Hope,THREEPIO,What's that?
4,A New Hope,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
4,A New Hope,LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!
4,A New Hope,THREEPIO,"Artoo! Artoo-Detoo, where are you?"
4,A New Hope,THREEPIO,At last!  Where have you been?
4,A New Hope,THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!
4,A New Hope,THREEPIO,"Wait a minute, where are you going?"
4,A New Hope,IMPERIAL OFFICER,The Death Star plans are not in the main computer.
4,A New Hope,VADER,Where are those transmissions you intercepted?
4,A New Hope,REBEL OFFICER,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.
4,A New Hope,THREEPIO,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!"
4,A New Hope,VADER,If this is a consular ship... where is the Ambassador?
4,A New Hope,TROOPER,There she is! Set for stun!
4,A New Hope,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.
4,A New Hope,THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure.."
4,A New Hope,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you."
4,A New Hope,THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!
4,A New Hope,THREEPIO,I'm going to regret this.
4,A New Hope,CHIEF PILOT,There goes another one.
4,A New Hope,CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.
4,A New Hope,THREEPIO,"That's funny, the damage doesn't look as bad from out here."
4,A New Hope,THREEPIO,Are you sure this things safe?
4,A New Hope,WOMAN,I've told you kids to slow down!
4,A New Hope,FIXER,Did I hear a young noise blast through here?
4,A New Hope,CAMIE,It was just Wormie on another rampage.
4,A New Hope,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!"
4,A New Hope,THREEPIO,"And don't let me catch you following me begging for help, because you won't get it."
4,A New Hope,THREEPIO,No more adventures.  I'm not going that way.
4,A New Hope,THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better."
4,A New Hope,SECOND TROOPER,"Look, sir - droids."
4,A New Hope,THREEPIO,Wake up!  Wake up!
4,A New Hope,THREEPIO,We're doomed.
4,A New Hope,THREEPIO,Do you think they'll melt us down?
4,A New Hope,THREEPIO,Don't shoot!  Don't shoot!  Will this never end?
4,A New Hope,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce."
4,A New Hope,LUKE,It looks like we don't have much of a choice but I'll remind him.
4,A New Hope,OWEN,I have no need for a protocol droid.
4,A New Hope,THREEPIO,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...
4,A New Hope,OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.
4,A New Hope,THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...
4,A New Hope,OWEN,Do you speak Bocce?
4,A New Hope,THREEPIO,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce..."
4,A New Hope,FIRST TROOPER,Someone was in the pod.  The tracks go off in this direction.
4,A New Hope,OWEN,All right; shut up! I'll take this one.
4,A New Hope,OWEN,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner."
4,A New Hope,LUKE,But I was going into Toshi Station to pick up some power converters...
4,A New Hope,OWEN,"You can waste time with your friends when your chores are done.  Now, come on, get to it!"
4,A New Hope,LUKE,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go."
4,A New Hope,LUKE,Uncle Owen...
4,A New Hope,OWEN,Yeah?
4,A New Hope,LUKE,This R2 unit has a bad motivator.  Look!
4,A New Hope,OWEN,"Hey, what're you trying to push on us?"
4,A New Hope,THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain."
4,A New Hope,LUKE,Uncle Owen...
4,A New Hope,OWEN,Yeah?
4,A New Hope,LUKE,What about that one?
4,A New Hope,OWEN,What about that blue one?  We'll take that one.
4,A New Hope,THREEPIO,"Shutting up, sir."
4,A New Hope,THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes."
4,A New Hope,THREEPIO,Artoo-Detoo!  It's you!  It's you!
4,A New Hope,LUKE,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got."
4,A New Hope,THREEPIO,"Wait, what's that?  A transport!  I'm saved!"
4,A New Hope,THREEPIO,"Over here!  Help!  Please, help!"
4,A New Hope,LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic."
4,A New Hope,BIGGS,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall."
4,A New Hope,LUKE,Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...
4,A New Hope,BIGGS,I've missed you kid.
4,A New Hope,LUKE,"Well, things haven't been the same since you left, Biggs.  It's been so...quiet."
4,A New Hope,BIGGS,"Luke, I didn't come back just to say goodbye...  I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know."
4,A New Hope,LUKE,What are you talking about?
4,A New Hope,BIGGS,"I made some friends at the Academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance..."
4,A New Hope,LUKE,Join the Rebellion?!  Are you kidding!  How?
4,A New Hope,BIGGS,Quiet down will ya!  You got a mouth bigger than a meteor crater!
4,A New Hope,LUKE,I'm sorry.  I'm quiet. Listen how quiet I am.  You can barely hear me...
4,A New Hope,BIGGS,"So long, Luke."
4,A New Hope,BIGGS,My friend has a friend on Bestine who might help us make contact.
4,A New Hope,BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own...  It's what we always talked about.  Luke, I'm not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in."
4,A New Hope,LUKE,And I'm stuck here...
4,A New Hope,BIGGS,I thought you were going to the Academy next term.  You'll get your chance to get off this rock.
4,A New Hope,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.
4,A New Hope,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.
4,A New Hope,LUKE,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now."
